n,rows,murty_time_orig_total,murty_time_upd_total,murty_delta_total_sec,murty_delta_mean_sec,murty_delta_median_sec,murty_speedup_total_x,murty_pct_change_total
10,44,386.231994,382.060376,-4.1716179999999925,-0.09480949999999982,-0.021854000000001372,1.0109187402359672,-0.010800809008069815
20,30,608.125033,597.816826,-10.30820700000002,-0.3436069000000007,-0.01908200000000093,1.0172430860954056,-0.016950801957859935
25,30,1296.125705,1274.226215,-21.899490000000014,-0.7299830000000005,-0.15626749999999756,1.0171865009071408,-0.016896115797657155
30,23,966.082,770.4808859999999,-195.60111400000002,-8.504396260869566,-4.603460000000002,1.2538688727444953,-0.20246843849693924
40,16,460.425021,465.191162,4.766140999999993,0.29788381249999957,0.020116500000000093,0.9897544463667175,0.010351611625381247
